12619,11026,4117,1518,2465,4315,2942,3093,2583,1322,1781,399,1806,997,226,303,587,420,60,2,72,0,124,0,108,0,11,136,122,380,123,6,5,2,23,37,75,9,145,0,0,17,93,87,0,0,0,29,0,9,5,0,20,0,6,0,1,63,0,0,0,37,0,0,59,22,0,6,0,0
30125,9020,4222,3398,5452,5998,6162,3745,2889,1738,3134,1804,2472,1674,638,953,2000,893,400,644,583,0,976,0,328,0,265,568,409,410,248,0,61,1,116,300,443,24,179,0,0,54,383,535,0,1,0,0,0,126,25,0,0,0,0,0,0,67,0,0,0,13,0,1,21,33,0,0,0,0
2052,1217,667,461,448,401,337,239,255,141,317,197,391,350,46,33,404,68,23,82,16,0,32,0,3,0,62,9,28,21,24,0,3,0,14,14,5,5,9,0,0,3,12,4,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
85174,30907,13873,8822,7794,11561,8547,6592,7587,6391,4134,9384,2692,1212,1434,1418,7,1004,54,487,958,0,188,155,348,187,64,124,32,420,141,0,13,27,55,40,209,721,520,477,0,2432,525,290,69,740,33,0,53,0,4,0,0,0,0,0,0,46,0,0,0,0,3,2,210,139,23,0,0,0
14977,8678,4428,3379,2119,1849,2682,1247,1263,1875,1080,732,1286,944,393,344,150,299,51,38,203,0,161,14,167,16,37,477,106,87,161,0,64,13,52,30,125,17,43,0,0,11,21,106,0,211,6,0,0,37,24,0,0,0,0,0,0,10,0,0,2,49,1,0,1,14,4,0,0,0
28269,23327,13978,11839,4310,2718,3910,2086,2743,4491,2070,1474,2129,2488,1000,612,332,467,84,13,385,0,114,0,227,0,149,610,146,111,88,44,13,4,95,110,121,69,46,0,0,5,70,149,0,465,0,0,0,184,115,0,0,0,0,0,0,37,0,0,0,65,0,46,1,65,0,0,0,0
2863,1305,605,405,613,663,574,288,333,123,288,160,272,205,25,2,39,58,22,10,21,0,13,0,0,0,1,63,56,32,10,0,9,0,3,33,19,2,8,0,0,18,32,77,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0
66196,22518,12902,7369,5314,2504,11692,4229,5042,2779,2326,2009,3939,3944,438,370,358,403,114,7,328,0,151,238,412,308,53,223,111,111,166,0,9,22,77,95,107,168,202,151,0,29,181,103,2,0,41,0,23,39,14,0,0,0,0,0,0,268,0,0,15,37,47,0,535,39,90,0,0,0
406,310,198,161,38,76,58,19,26,62,16,25,32,45,3,3,6,5,0,0,6,0,0,0,2,0,0,6,0,4,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
734,315,165,113,59,83,114,38,32,66,23,24,60,33,12,9,0,1,6,0,0,0,5,0,6,0,0,0,11,23,8,0,24,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
25167,19162,7284,3817,2805,3161,6552,3734,3091,1208,2041,1487,2761,2937,1540,621,32,333,232,159,75,0,367,36,938,31,128,138,345,228,204,0,339,1,299,378,218,81,227,0,0,4,171,85,0,30,4,0,22,285,33,0,0,0,0,0,0,118,0,0,0,187,2,2,38,92,21,0,0,0
